SKU,Category,New.Category,EDC.Available
10537340,A,A,0
10553602,A,A,1
10417125,A,A,1
10314947,A,A,1
10110621,A,A,1
10999017,A,A,1
10433247,A,A,1
10160951,A,A,1
10429384,A,A,1
10196945,A,A,1
10546753,A,A,1
10122781,A,A,1
10185915,A,A,1
10594221,A,A,1
10545246,A,A,1
10367016,A,A,1
10231294,A,A,1
10672857,A,A,0
10240763,A,A,1
10142817,A,A,1
10594224,A,A,1
10221520,A,A,1
10030449,A,A,1
10172037,A,A,1
10400221,A,A,1
10139627,A,A,1
10308867,A,A,1
10267573,A,A,1
10385154,A,A,1
10595104,A,A,1
10299754,A,A,0
10409533,A,A,1
10415371,A,A,1
10214749,A,A,1
10540485,A,A,0
10156894,A,A,1
10103227,A,A,1
10409040,A,A,1
10314149,A,A,1
10118513,A,A,1
10110615,A,A,1
10050091,A,A,1
10259689,A,A,1
10411725,A,A,1
10326313,A,A,1
10437745,A,A,1
10258508,A,A,1
10594614,A,A,1
10256676,A,A,1
10268662,A,A,1
10122977,A,A,1
10230617,A,A,1
10274252,A,A,1
10118638,A,A,1
10299757,A,A,1
10221420,A,A,1
10383433,A,A,1
10373041,A,A,1
10268387,A,A,1
10329058,A,A,1
10573607,A,A,1
10138068,A,A,1
10144578,A,A,1
10392960,A,A,1
10414637,A,A,1
10324517,A,A,1
10154123,A,A,1
10408916,A,A,1
10091776,A,A,1
10507360,A,A,1
10229362,A,A,1
10621482,A,A,1
10091777,A,A,1
10288334,A,A,1
10362354,A,A,1
10065113,A,A,0
10219225,A,A,1
10611593,A,A,0
10471200,A,A,1
10432233,A,A,1
10622307,A,A,1
10447090,A,A,1
10242651,A,A,1
10123674,A,A,1
10475425,A,A,1
10449308,A,A,1
10063385,A,A,1
10147145,A,A,1
10267602,A,A,1
10194019,A,A,1
10058764,A,A,1
10268390,A,A,1
10118224,A,A,1
10347273,A,A,1
10400968,A,A,1
10065035,A,A,0
10320732,A,A,1
10547547,A,A,1
10312184,A,A,1
10207826,A,A,1
10596989,A,A,1
10540491,A,A,0
10329057,A,A,1
10473563,A,A,1
10510957,A,A,1
10112330,A,A,1
10147250,A,A,1
10014386,A,A,1
10501072,A,A,1
10287438,A,A,0
10401085,A,A,1
10525089,A,A,1
10245433,A,A,1
10672352,A,A,1
10221533,A,A,1
10504503,A,A,1
10310263,A,A,1
10031019,A,A,1
10472543,A,A,1
10473441,A,A,1
10354005,A,A,1
10268386,A,A,1
10245657,A,A,1
10417618,A,A,1
10204203,A,A,1
10228394,A,A,1
10347419,A,A,1
10263936,A,A,1
10353847,A,A,1
10463047,A,A,1
10507007,A,A,1
10468439,A,A,1
10137858,A,A,1
10267436,A,A,1
10261446,A,A,1
10115537,A,A,1
10385873,A,A,1
10267656,A,A,1
10274964,A,A,1
10376017,A,A,1
10065712,A,A,1
10535999,A,A,1
10157803,A,A,1
10014397,A,A,1
10411723,A,A,1
10396279,A,A,1
10185259,A,A,1
10177817,A,A,1
10553362,A,A,1
10267654,A,A,1
10353298,A,A,1
10503913,A,A,1
10114062,A,A,1
10349070,A,A,1
10355317,A,A,1
10401086,A,A,1
10418373,A,A,1
10051537,A,A,1
10012255,A,A,1
10257567,A,A,1
10267466,A,A,1
10343251,A,A,1
10428401,A,A,1
10564034,A,A,1
10353687,A,A,1
10507319,A,A,1
