,month,State,New.Category,Total Sales Demand,Total Units Demanded per SKU,Order ID,Country,Custom_State,Cluster,Cust_State
270,1,G1P,Non-A,0.0,2,1,CA,G,0.0,G
271,1,G1P,Seasonal,0.0,5,1,CA,G,0.0,G
272,1,G2E,A,27.9823,1,1,CA,G,0.0,G
273,1,G2G,Non-A,36.8739,6,1,CA,G,0.0,G
274,1,G3A,A,15.3449,5,1,CA,G,0.0,G
275,1,G3A,Non-A,306.1149,2,1,CA,G,0.0,G
276,1,G4S,Non-A,29.4821,7,1,CA,G,0.0,G
277,1,G4T,A,36.7968,18,2,CA,G,0.0,G
278,1,G4T,Seasonal,0.0,2,1,CA,G,0.0,G
279,1,G4V,A,48.4039,7,1,CA,G,0.0,G
280,1,G4W,A,62.7938,20,2,CA,G,0.0,G
281,1,G4W,Non-A,0.0,1,1,CA,G,0.0,G
282,1,G4Z,A,123.7057,25,2,CA,G,0.0,G
283,1,G5A,A,125.0739,20,3,CA,G,0.0,G
284,1,G5A,Non-A,57.6183,19,3,CA,G,0.0,G
285,1,G5A,Seasonal,0.0,8,3,CA,G,0.0,G
286,1,G5B,A,66.0562,9,1,CA,G,0.0,G
287,1,G5B,Non-A,0.0,3,1,CA,G,0.0,G
288,1,G5B,Seasonal,0.0,6,1,CA,G,0.0,G
289,1,G5L,A,567.5943,6,1,CA,G,0.0,G
290,1,G5L,Non-A,0.0,1,1,CA,G,0.0,G
291,1,G5M,Non-A,26.1364,2,1,CA,G,0.0,G
292,1,G5N,Non-A,89.8848,21,1,CA,G,0.0,G
293,1,G5R,A,13.7988,8,3,CA,G,0.0,G
294,1,G5R,Non-A,39.4812,6,2,CA,G,0.0,G
295,1,G6B,A,31.4433,3,2,CA,G,0.0,G
296,1,G6B,Non-A,0.0,14,1,CA,G,0.0,G
297,1,G6J,Non-A,43.0736,8,1,CA,G,0.0,G
298,1,G6L,A,7.3686,2,1,CA,G,0.0,G
299,1,G6L,Non-A,15.6526,2,1,CA,G,0.0,G
300,1,G6P,A,14.4481,1,1,CA,G,0.0,G
301,1,G6T,Non-A,19.1908,5,1,CA,G,0.0,G
302,1,G6X,A,256.6005,24,2,CA,G,0.0,G
303,1,G6X,Non-A,23.052,18,2,CA,G,0.0,G
304,1,G7H,A,20.0521,2,1,CA,G,0.0,G
